structure_id,reward_final,source
gen_20,0.9995327591896057,topk
gen_8,0.8347742557525635,topk
gen_57,0.7348320484161377,topk
gen_51,0.6042019128799438,topk
gen_34,0.13069669902324677,topk
gen_60,0.058480121195316315,topk
gen_3,0.02016505040228367,topk
gen_0,0.0025401022285223007,topk
gen_57,0.11265344172716141,replay
gen_56,0.20247873663902283,replay
gen_2,0.6226308345794678,replay
gen_2,0.5370801687240601,replay
gen_26,0.11561201512813568,replay
gen_50,0.3377610743045807,replay
gen_40,0.885703980922699,replay
gen_48,0.3037836253643036,replay
gen_14,0.76922607421875,replay
gen_35,0.12731996178627014,replay
