structure_id,reward_final,source
gen_40,0.8180661797523499,topk
gen_3,0.7547581195831299,topk
gen_27,0.6988805532455444,topk
gen_16,0.6416585445404053,topk
gen_13,0.32151320576667786,topk
gen_37,0.16836018860340118,topk
gen_38,0.06329632550477982,topk
gen_29,0.03209151327610016,topk
gen_33,0.9860047101974487,replay
gen_39,0.7581910490989685,replay
gen_42,0.8957633972167969,replay
gen_26,0.11561201512813568,replay
gen_3,0.7433804273605347,replay
gen_5,0.10608126223087311,replay
gen_50,0.3377610743045807,replay
gen_45,0.9985632300376892,replay
gen_7,0.8625047206878662,replay
gen_22,0.947683572769165,replay
