structure_id,reward_final,source
gen_21,0.970741331577301,topk
gen_42,0.9630635380744934,topk
gen_7,0.8625047206878662,topk
gen_13,0.3901297450065613,topk
gen_53,0.3559286594390869,topk
gen_61,0.2864919602870941,topk
gen_26,0.11561201512813568,topk
gen_15,0.06602361798286438,topk
gen_42,0.8957633972167969,replay
gen_47,0.817733108997345,replay
gen_50,0.3377610743045807,replay
gen_54,0.16893936693668365,replay
gen_35,0.11356313526630402,replay
gen_63,0.15099993348121643,replay
gen_23,0.3325478434562683,replay
gen_5,0.10608126223087311,replay
