structure_id,reward_final,source
gen_36,0.9821895360946655,topk
gen_31,0.9790254235267639,topk
gen_32,0.9742620587348938,topk
gen_10,0.8856315016746521,topk
gen_3,0.8064631819725037,topk
gen_17,0.6946464776992798,topk
gen_23,0.5721945762634277,topk
gen_21,0.2317500114440918,topk
gen_61,0.8665275573730469,replay
gen_41,0.7777136564254761,replay
gen_53,0.3559286594390869,replay
gen_54,0.8263561129570007,replay
gen_47,0.9923074245452881,replay
gen_26,0.11561201512813568,replay
gen_39,0.7581910490989685,replay
gen_20,0.885495126247406,replay
gen_18,0.3543972373008728,replay
gen_48,0.3037836253643036,replay
