structure_id,reward_final,source
gen_40,0.9841652512550354,topk
gen_30,0.9646286964416504,topk
gen_61,0.8525956273078918,topk
gen_58,0.5509141087532043,topk
gen_60,0.5186401009559631,topk
gen_55,0.2598065733909607,topk
gen_37,0.1405036598443985,topk
gen_8,0.08687435835599899,topk
gen_35,0.7940726280212402,replay
gen_23,0.3325478434562683,replay
gen_35,0.5485506057739258,replay
gen_3,0.7433804273605347,replay
gen_18,0.6280627250671387,replay
gen_47,0.9923074245452881,replay
gen_45,0.9985632300376892,replay
gen_28,0.9536669850349426,replay
gen_13,0.3901297450065613,replay
gen_40,0.885703980922699,replay
