structure_id,reward_final,source
gen_36,0.9834958910942078,topk
gen_5,0.9761536121368408,topk
gen_40,0.885703980922699,topk
gen_35,0.8641894459724426,topk
gen_14,0.76922607421875,topk
gen_2,0.6226308345794678,topk
gen_18,0.3543972373008728,topk
gen_1,0.23737159371376038,topk
gen_3,0.7547581195831299,replay
gen_42,0.9630635380744934,replay
gen_48,0.3037836253643036,replay
gen_33,0.9860047101974487,replay
gen_23,0.3325478434562683,replay
gen_40,0.8180661797523499,replay
gen_17,0.5482104420661926,replay
gen_21,0.970741331577301,replay
gen_16,0.6416585445404053,replay
gen_26,0.11561201512813568,replay
