structure_id,reward_final,source
gen_43,0.9996639490127563,topk
gen_25,0.9969984292984009,topk
gen_2,0.960250735282898,topk
gen_61,0.4103600084781647,topk
gen_38,0.1688377410173416,topk
gen_52,0.11148249357938766,topk
gen_55,0.11090999096632004,topk
gen_21,0.01964849792420864,topk
gen_36,0.7869940400123596,replay
gen_3,0.7547581195831299,replay
gen_14,0.76922607421875,replay
gen_28,0.9748178124427795,replay
gen_41,0.995839536190033,replay
gen_51,0.6042019128799438,replay
gen_21,0.970741331577301,replay
gen_17,0.9999675750732422,replay
gen_56,0.9635854363441467,replay
gen_2,0.7504093647003174,replay
