structure_id,reward_final,source
gen_17,0.9999675750732422,topk
gen_51,0.9370469450950623,topk
gen_18,0.8436003923416138,topk
gen_29,0.639678955078125,topk
gen_38,0.5971544981002808,topk
gen_34,0.5397515296936035,topk
gen_24,0.15921826660633087,topk
gen_1,0.1449446827173233,topk
gen_44,0.995012104511261,replay
gen_31,0.9790254235267639,replay
gen_51,0.6042019128799438,replay
gen_60,0.5186401009559631,replay
gen_19,0.507942795753479,replay
gen_2,0.9992254972457886,replay
gen_55,0.8110082745552063,replay
gen_10,0.8856315016746521,replay
gen_36,0.9834958910942078,replay
gen_34,0.8285039067268372,replay
