thesis_output,condition,metric,reported_value,recomputed_value,match,notes
MatterGen guidance sweep,g5_target12,median_prediction,15.134028008626055,15.134028008626057,True,
MatterGen guidance sweep,g5_target12,MAE,4.752751478783448,4.752751478783448,True,
MatterGen guidance sweep,g5_target12,stable_fraction,0.40625,0.40625,True,
MatterGen guidance sweep,g5_target12,SUN_fraction,0.140625,0.140625,True,
Crystalite FiLM guidance sweep,g0_target2,MAE,4.82,4.821409891727176,True,
Crystalite FiLM guidance sweep,g0_target4,MAE,3.5,3.5010189647031598,True,
Crystalite FiLM guidance sweep,g0_target8,MAE,4.24,4.2385660465096855,True,
Crystalite FiLM guidance sweep,g0_target12,MAE,6.54,6.543544247284054,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t2,mean_prediction,2.71128338387099,2.71128338387099,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t2,median_prediction,2.380190016998732,2.380190016998732,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t2,MAE,0.7602953975431614,0.7602953975431614,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t4,mean_prediction,4.446625572290506,4.446625572290506,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t4,median_prediction,3.683052901782157,3.6830529017821574,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t4,MAE,1.631964576388514,1.631964576388514,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t8,mean_prediction,7.552118493463537,7.552118493463538,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t8,median_prediction,6.51374397540706,6.51374397540706,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t8,MAE,3.373182518906582,3.373182518906582,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t12,mean_prediction,9.428682798565651,9.42868279856565,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t12,median_prediction,8.573235240028318,8.573235240028318,True,
Crystalite FiLM guidance sweep,fixed_film__g1__t12,MAE,4.4075645649657655,4.4075645649657655,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t2,mean_prediction,2.305641600077972,2.3056416000779714,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t2,median_prediction,2.1621951498551617,2.1621951498551617,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t2,MAE,0.4191783581199587,0.41917835811995874,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t4,mean_prediction,3.7822005565744985,3.7822005565744985,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t4,median_prediction,3.290906115529139,3.290906115529139,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t4,MAE,1.1903918996362437,1.1903918996362437,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t8,mean_prediction,8.044206290780469,8.044206290780469,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t8,median_prediction,7.180116388959077,7.180116388959078,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t8,MAE,2.882965140199634,2.8829651401996337,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t12,mean_prediction,13.147311811294326,13.147311811294326,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t12,median_prediction,13.16339866333812,13.16339866333812,True,
Crystalite FiLM guidance sweep,fixed_film__g2__t12,MAE,3.0971796373993232,3.0971796373993237,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t2,mean_prediction,2.149021042214884,2.149021042214884,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t2,median_prediction,2.0242307180330927,2.0242307180330927,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t2,MAE,0.4470704371172417,0.4470704371172417,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t4,mean_prediction,3.447018964394707,3.447018964394707,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t4,median_prediction,3.216056018098172,3.216056018098172,True,
Crystalite FiLM guidance sweep,fixed_film__g3__t4,MAE,0.968207337727765,0.9682073377277652,True,
