structure_id,reward_final,source
gen_26,0.9996469616889954,topk
gen_12,0.9227010011672974,topk
gen_44,0.8762235045433044,topk
gen_34,0.8285039067268372,topk
gen_10,0.8170759081840515,topk
gen_11,0.5316354036331177,topk
gen_47,0.2030009627342224,topk
gen_30,0.19935962557792664,topk
gen_17,0.19530512392520905,replay
gen_26,0.11561201512813568,replay
gen_18,0.6280627250671387,replay
gen_2,0.5370801687240601,replay
gen_56,0.9635854363441467,replay
gen_31,0.6525701880455017,replay
gen_35,0.11356313526630402,replay
gen_35,0.8641894459724426,replay
gen_28,0.9536669850349426,replay
gen_23,0.5721945762634277,replay
