group,method,guidance_factor,target,raw_group_dir,relaxed_group_dir,checkpoint,relax_steps,limit_cifs,num_raw_cifs,num_relax_failures,num_relaxed_cifs,total_relax_seconds
additive_plus_film__uncond,additive_plus_film,0,uncond,provenance://crystalite/outputs/dielectric_cfg_film_g0_uncond_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__uncond,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g1__t2,additive_plus_film,1,2,provenance://crystalite/outputs/dielectric_cfg_film_g1_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g1__t2,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g1__t4,additive_plus_film,1,4,provenance://crystalite/outputs/dielectric_cfg_film_g1_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g1__t4,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g1__t8,additive_plus_film,1,8,provenance://crystalite/outputs/dielectric_cfg_film_g1_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g1__t8,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g1__t12,additive_plus_film,1,12,provenance://crystalite/outputs/dielectric_cfg_film_g1_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g1__t12,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g2__t2,additive_plus_film,2,2,provenance://crystalite/outputs/dielectric_cfg_film_g2_t2_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g2__t2,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g2__t4,additive_plus_film,2,4,provenance://crystalite/outputs/dielectric_cfg_film_g2_t4_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g2__t4,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g2__t8,additive_plus_film,2,8,provenance://crystalite/outputs/dielectric_cfg_film_g2_t8_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g2__t8,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g2__t12,additive_plus_film,2,12,provenance://crystalite/outputs/dielectric_cfg_film_g2_t12_n128,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g2__t12,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g3__t2,additive_plus_film,3,2,provenance://crystalite/outputs/final report output/raw_groups/additive_plus_film__g3__t2,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g3__t2,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g3__t4,additive_plus_film,3,4,provenance://crystalite/outputs/final report output/raw_groups/additive_plus_film__g3__t4,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g3__t4,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
additive_plus_film__g3__t8,additive_plus_film,3,8,provenance://crystalite/outputs/final report output/raw_groups/additive_plus_film__g3__t8,provenance://crystalite/outputs/final report output/relaxed_groups/additive_plus_film__g3__t8,outputs/dielectric_cfg_film_upper_from_v1_unfrozen_5epoch_bs32/checkpoints/final.pt,50,128,128,0,128,0.0
