guidance_factor,condition,n_structures,n_predicted,n_with_stability_metrics,mean_predicted_dielectric_scalar,median_predicted_dielectric_scalar,std_predicted_dielectric_scalar,q25_predicted_dielectric_scalar,q75_predicted_dielectric_scalar,mae_to_target,median_abs_error_to_target,rmse_to_target,mean_signed_error_to_target,frac_within_1,frac_within_2,mean_energy_above_hull_per_atom,median_energy_above_hull_per_atom,q25_energy_above_hull_per_atom,q75_energy_above_hull_per_atom,frac_stable,mean_rmsd_from_relaxation,median_rmsd_from_relaxation,frac_unique,frac_novel,frac_explored,frac_composition_valid,frac_structure_valid,frac_structure_comp_valid,frac_novel_unique_stable
0,2,128,128,128,5.302403560724194,4.533562057616093,3.2691877597062033,2.824645657036667,6.649279957749061,3.3164796011923032,2.5335620576160935,4.637883256410734,3.302403560724194,0.2890625,0.3984375,0.1516795746553351,0.12448262220444925,0.060836048464511905,0.20245174829493734,0.4296875,0.0010381265074690304,0.00074446524491405,1.0,0.7265625,0.890625,0.8203125,1.0,0.8203125,0.21875
0,4,128,128,128,5.7415658643175185,4.392432660912556,3.7187712158980197,3.4544483146709317,6.962766030556157,2.5209800036135026,1.2831583765190262,4.093198007332093,1.7415658643175198,0.4140625,0.6328125,0.1532644831521099,0.12105497560902201,0.06804361137488565,0.1986407517819387,0.3984375,0.0011012723818046395,0.00095197979172465,1.0,0.7265625,0.8359375,0.78125,1.0,0.78125,0.1875
0,8,128,128,128,5.582813716244765,4.687568569501023,3.531967454194204,2.994205661497481,7.034978578292183,3.7237302599859046,3.613691203595966,4.268503754124495,-2.4171862837552345,0.09375,0.2265625,0.15686666566403687,0.1284402023412889,0.07941576378765672,0.20711599059480154,0.359375,0.0010549055314913586,0.0008653604651383999,0.984375,0.7421875,0.8359375,0.8125,1.0,0.8125,0.15625
0,12,128,128,128,5.447815538553286,4.563480743704753,3.332847623375115,2.819661765573751,6.8050721247511365,6.878909244468767,7.436519256295246,7.345217099409379,-6.552184461446714,0.0078125,0.0703125,0.19863598942713911,0.1301888749053035,0.05943156173992455,0.20985411688423095,0.359375,0.0010277016879721966,0.00081838119303665,1.0,0.75,0.84375,0.8046875,1.0,0.8046875,0.1796875
1,2,128,128,128,3.4993856607041165,2.8935298926684716,2.213763235842825,2.3182951910675573,3.6836882381778064,1.5880907009621392,0.979033498130089,2.6665741941237133,1.4993856607041165,0.5,0.7734375,0.16020004723497733,0.11603243671184765,0.045888135870593955,0.18905307021319223,0.4453125,0.0010681785744135691,0.0007833142180068,1.0,0.75,0.90625,0.796875,1.0,0.796875,0.265625
1,4,128,128,128,4.9723356468988715,4.161642642893651,3.044949240770229,3.0539611055138103,5.509400434648536,1.9488765883712986,1.161856108606173,3.185077268889059,0.9723356468988704,0.390625,0.734375,0.2013231537344775,0.13165127412424543,0.08349680434426501,0.21391746196678224,0.34375,0.000906978524630381,0.0006766410613206,1.0,0.7578125,0.84375,0.859375,1.0,0.859375,0.1875
1,8,128,128,128,8.924684939494501,8.363433757430272,4.450460945545429,5.151817819338934,11.791610124111239,3.6532329305569027,3.16047873280257,4.5284551209130015,0.9246849394945013,0.140625,0.25,0.1857997960115219,0.15708803165856494,0.07904732847483363,0.22254158343853378,0.3125,0.0012528113756610404,0.00117583304261425,1.0,0.7578125,0.859375,0.8203125,1.0,0.8203125,0.1484375
1,12,128,128,128,8.78485369984844,8.024088944660372,4.758052684055314,5.240648011204993,11.274674681050994,4.884185185892443,4.746812075237008,5.727072845496409,-3.215146300151561,0.078125,0.1875,0.16077443704202413,0.1228636852240261,0.06428744385667415,0.18895696033914158,0.3984375,0.0009811552448211725,0.00080766020340755,0.9921875,0.734375,0.8984375,0.8359375,1.0,0.8359375,0.203125
2,2,128,128,128,2.5090973182767,2.2317854159090276,1.043911506585151,2.0052252208735672,2.758291493227995,0.7382901991144115,0.445054959170895,1.157764065578586,0.5090973182766994,0.75,0.9140625,0.13294171133300992,0.08199348514433685,0.04035917377281348,0.16977039317353967,0.5625,0.0009596959293181827,1.8287049035046615e-15,0.984375,0.78125,0.9765625,0.7578125,1.0,0.7578125,0.375
2,4,128,128,128,5.001191311680969,4.110688770834365,2.808711118225175,2.92396755077841,6.175135853354945,2.0504753110637743,1.4706705137085154,2.9714660496065486,1.00119131168097,0.34375,0.71875,0.1979152685014868,0.12999809613542118,0.0736585063913397,0.20427265674976344,0.3671875,0.001278478236932739,0.0009814461457936501,0.96875,0.734375,0.875,0.9140625,1.0,0.9140625,0.203125
2,8,128,128,128,10.6551696045629,10.008490818417247,4.605640934661554,7.0937393872526515,12.575588849110105,3.934456470298602,2.875477507206641,5.3005788228504995,2.6551696045629005,0.1875,0.3359375,0.1515788336764684,0.12760998234373794,0.06892353125078597,0.19092073786055952,0.421875,0.001064930369116169,0.0008016571894565001,0.9921875,0.71875,0.8828125,0.8515625,1.0,0.8515625,0.1875
2,12,128,128,128,11.816756927601748,11.018139367048795,5.404455851930927,8.161068413743582,14.395247330969266,4.094748338256572,3.4225439288828774,5.386421118092377,-0.183243072398252,0.1484375,0.3125,0.13094346491854478,0.12350658088448085,0.05965352693586198,0.17755052855958883,0.421875,0.0009603395233570258,0.00071856044547765,1.0,0.75,0.90625,0.9140625,1.0,0.9140625,0.2265625
5,2,128,128,128,1.9285439045787989,1.9632346873156492,0.7646476174797675,1.4371758519752202,2.3728175426138494,0.5798777870169813,0.46514885136956424,0.7649994073723428,-0.07145609542120113,0.796875,0.984375,0.09671579571097733,0.0606993563634472,0.02356844897881225,0.1290990131284629,0.65625,0.0006642819614420146,1.2658926792917738e-15,0.921875,0.8125,0.9609375,0.609375,1.0,0.609375,0.46875
5,4,128,128,128,4.3070581520328695,3.726148861137169,2.121968092597221,2.7999515073468144,5.059688114250186,1.5032526602392846,1.1999900965319357,2.1358500816776442,0.30705815203287007,0.4609375,0.8046875,0.21489613347678294,0.16162466167984801,0.08185346451423575,0.28332446213824886,0.2890625,0.001099664591607594,0.00083561982261675,0.984375,0.7734375,0.84375,0.8125,1.0,0.8125,0.1484375
5,8,128,128,128,14.283319444450768,13.599062415449815,4.488092900028601,11.49328632267608,16.376430178816463,6.496325120223082,5.599062415449816,7.711401565579262,6.283319444450767,0.0390625,0.1015625,0.14461578308097503,0.12570259615567075,0.07748143079052515,0.18623052386041133,0.4296875,0.0010833173227654262,0.0009739443569663501,0.984375,0.7421875,0.953125,0.8359375,1.0,0.8359375,0.2421875
5,12,128,128,128,15.5291200019162,15.134028008626057,4.851735395693682,11.955342642658001,18.822567499271575,4.752751478783448,3.835519160360935,5.9841560200682355,3.529120001916199,0.1328125,0.2734375,0.13427795742211018,0.1181768607489055,0.069648076979742,0.18051131349429594,0.40625,0.001223643098962573,0.001061496743801,0.9609375,0.6875,0.96875,0.8125,1.0,0.8125,0.140625
