guidance_factor,condition,n_structures,n_predicted,n_with_stability_metrics,mean_predicted_dielectric_scalar,median_predicted_dielectric_scalar,std_predicted_dielectric_scalar,q25_predicted_dielectric_scalar,q75_predicted_dielectric_scalar,mae_to_target,median_abs_error_to_target,rmse_to_target,mean_signed_error_to_target,frac_within_1,frac_within_2,mean_energy_above_hull_per_atom,median_energy_above_hull_per_atom,q25_energy_above_hull_per_atom,q75_energy_above_hull_per_atom,frac_stable,mean_rmsd_from_relaxation,median_rmsd_from_relaxation,frac_unique,frac_novel,frac_explored,frac_composition_valid,frac_structure_valid,frac_structure_comp_valid,frac_novel_unique_stable
0,8,128,128,128,5.582813716244765,4.687568569501023,3.531967454194204,2.994205661497481,7.034978578292183,3.723730259985905,3.613691203595966,4.268503754124495,-2.4171862837552345,0.09375,0.2265625,0.1568666656640368,0.1284402023412889,0.0794157637876567,0.2071159905948015,0.359375,0.0010549055314913,0.0008653604651383,0.984375,0.7421875,0.8359375,0.8125,1.0,0.8125,0.15625
0,12,128,128,128,5.447815538553286,4.563480743704753,3.332847623375115,2.819661765573751,6.8050721247511365,6.878909244468767,7.436519256295246,7.345217099409379,-6.552184461446714,0.0078125,0.0703125,0.1986359894271391,0.1301888749053035,0.0594315617399245,0.2098541168842309,0.359375,0.0010277016879721,0.0008183811930366,1.0,0.75,0.84375,0.8046875,1.0,0.8046875,0.1796875
1,2,128,128,128,3.4993856607041165,2.893529892668472,2.213763235842825,2.3182951910675573,3.6836882381778064,1.5880907009621392,0.979033498130089,2.6665741941237133,1.4993856607041165,0.5,0.7734375,0.1602000472349773,0.1160324367118476,0.0458881358705939,0.1890530702131922,0.4453125,0.0010681785744135,0.0007833142180068,1.0,0.75,0.90625,0.796875,1.0,0.796875,0.265625
1,4,128,128,128,4.972335646898872,4.161642642893651,3.044949240770229,3.0539611055138103,5.509400434648536,1.9488765883712984,1.161856108606173,3.185077268889059,0.9723356468988704,0.390625,0.734375,0.2013231537344775,0.1316512741242454,0.083496804344265,0.2139174619667822,0.34375,0.0009069785246303,0.0006766410613206,1.0,0.7578125,0.84375,0.859375,1.0,0.859375,0.1875
1,8,128,128,128,8.924684939494501,8.363433757430272,4.450460945545429,5.151817819338934,11.79161012411124,3.653232930556903,3.16047873280257,4.5284551209130015,0.9246849394945011,0.140625,0.25,0.1857997960115219,0.1570880316585649,0.0790473284748336,0.2225415834385337,0.3125,0.001252811375661,0.0011758330426142,1.0,0.7578125,0.859375,0.8203125,1.0,0.8203125,0.1484375
1,12,128,128,128,8.78485369984844,8.024088944660372,4.758052684055314,5.240648011204993,11.274674681050994,4.884185185892443,4.746812075237008,5.727072845496409,-3.215146300151561,0.078125,0.1875,0.1607744370420241,0.1228636852240261,0.0642874438566741,0.1889569603391415,0.3984375,0.0009811552448211,0.0008076602034075,0.9921875,0.734375,0.8984375,0.8359375,1.0,0.8359375,0.203125
2,2,128,128,128,2.5090973182767,2.231785415909028,1.043911506585151,2.0052252208735672,2.758291493227995,0.7382901991144115,0.445054959170895,1.157764065578586,0.5090973182766994,0.75,0.9140625,0.1329417113330099,0.0819934851443368,0.0403591737728134,0.1697703931735396,0.5625,0.0009596959293181,1.828704903504661e-15,0.984375,0.78125,0.9765625,0.7578125,1.0,0.7578125,0.375
2,4,128,128,128,5.001191311680969,4.110688770834365,2.808711118225175,2.92396755077841,6.175135853354945,2.0504753110637743,1.4706705137085154,2.9714660496065486,1.00119131168097,0.34375,0.71875,0.1979152685014868,0.1299980961354211,0.0736585063913397,0.2042726567497634,0.3671875,0.0012784782369327,0.0009814461457936,0.96875,0.734375,0.875,0.9140625,1.0,0.9140625,0.203125
2,8,128,128,128,10.6551696045629,10.008490818417249,4.605640934661554,7.093739387252652,12.575588849110105,3.934456470298602,2.875477507206641,5.3005788228505,2.6551696045629005,0.1875,0.3359375,0.1515788336764684,0.1276099823437379,0.0689235312507859,0.1909207378605595,0.421875,0.0010649303691161,0.0008016571894565,0.9921875,0.71875,0.8828125,0.8515625,1.0,0.8515625,0.1875
2,12,128,128,128,11.816756927601748,11.018139367048796,5.404455851930927,8.161068413743582,14.395247330969266,4.094748338256572,3.4225439288828774,5.386421118092377,-0.183243072398252,0.1484375,0.3125,0.1309434649185447,0.1235065808844808,0.0596535269358619,0.1775505285595888,0.421875,0.000960339523357,0.0007185604454776,1.0,0.75,0.90625,0.9140625,1.0,0.9140625,0.2265625
5,2,128,128,128,1.9285439045787989,1.9632346873156488,0.7646476174797675,1.4371758519752202,2.3728175426138494,0.5798777870169813,0.4651488513695642,0.7649994073723428,-0.0714560954212011,0.796875,0.984375,0.0967157957109773,0.0606993563634472,0.0235684489788122,0.1290990131284629,0.65625,0.000664281961442,1.2658926792917738e-15,0.921875,0.8125,0.9609375,0.609375,1.0,0.609375,0.46875
5,4,128,128,128,4.3070581520328695,3.726148861137169,2.121968092597221,2.7999515073468144,5.059688114250186,1.5032526602392846,1.1999900965319357,2.135850081677644,0.30705815203287,0.4609375,0.8046875,0.2148961334767829,0.161624661679848,0.0818534645142357,0.2833244621382488,0.2890625,0.0010996645916075,0.0008356198226167,0.984375,0.7734375,0.84375,0.8125,1.0,0.8125,0.1484375
5,8,128,128,128,14.283319444450768,13.599062415449817,4.488092900028601,11.49328632267608,16.376430178816463,6.496325120223082,5.599062415449816,7.711401565579262,6.283319444450767,0.0390625,0.1015625,0.144615783080975,0.1257025961556707,0.0774814307905251,0.1862305238604113,0.4296875,0.0010833173227654,0.0009739443569663,0.984375,0.7421875,0.953125,0.8359375,1.0,0.8359375,0.2421875
5,12,128,128,128,15.5291200019162,15.134028008626055,4.851735395693682,11.955342642658,18.82256749927157,4.752751478783448,3.835519160360935,5.984156020068236,3.529120001916199,0.1328125,0.2734375,0.1342779574221101,0.1181768607489055,0.069648076979742,0.1805113134942959,0.40625,0.0012236430989625,0.001061496743801,0.9609375,0.6875,0.96875,0.8125,1.0,0.8125,0.140625
