structure_id,reward_final,source
gen_41,0.995839536190033,topk
gen_61,0.9412257075309753,topk
gen_4,0.7990254163742065,topk
gen_49,0.6496061086654663,topk
gen_33,0.6395933032035828,topk
gen_21,0.32795923948287964,topk
gen_60,0.31483331322669983,topk
gen_58,0.23482701182365417,topk
gen_54,0.8263561129570007,replay
gen_7,0.8625047206878662,replay
gen_13,0.9786253571510315,replay
gen_35,0.11356313526630402,replay
gen_27,0.7848904132843018,replay
gen_26,0.11561201512813568,replay
gen_29,0.8234158754348755,replay
gen_20,0.9995327591896057,replay
gen_21,0.2317500114440918,replay
gen_57,0.7348320484161377,replay
