structure_id,reward_final,source
gen_21,0.9692606329917908,topk
gen_61,0.8665275573730469,topk
gen_54,0.8263561129570007,topk
gen_41,0.7777136564254761,topk
gen_31,0.6525701880455017,topk
gen_17,0.35096946358680725,topk
gen_56,0.20247873663902283,topk
gen_35,0.12731996178627014,topk
gen_21,0.970741331577301,replay
gen_22,0.947683572769165,replay
gen_63,0.15099993348121643,replay
gen_40,0.8180661797523499,replay
gen_49,0.2823639512062073,replay
gen_39,0.7581910490989685,replay
gen_7,0.8625047206878662,replay
gen_61,0.8023122549057007,replay
gen_17,0.5482104420661926,replay
gen_50,0.3377610743045807,replay
