structure_id,reward_final,source
gen_45,0.9985632300376892,topk
gen_33,0.9860047101974487,topk
gen_22,0.947683572769165,topk
gen_39,0.7581910490989685,topk
gen_3,0.7433804273605347,topk
gen_17,0.5482104420661926,topk
gen_48,0.3037836253643036,topk
gen_49,0.2823639512062073,topk
gen_47,0.817733108997345,replay
gen_21,0.970741331577301,replay
gen_35,0.11356313526630402,replay
gen_5,0.10608126223087311,replay
gen_42,0.9630635380744934,replay
gen_53,0.3559286594390869,replay
gen_23,0.3325478434562683,replay
gen_54,0.16893936693668365,replay
gen_63,0.15099993348121643,replay
gen_13,0.3901297450065613,replay
