structure_id,reward_final,source
gen_44,0.995012104511261,topk
gen_2,0.7504093647003174,topk
gen_50,0.5337112545967102,topk
gen_16,0.3195996582508087,topk
gen_27,0.17737534642219543,topk
gen_39,0.11206088960170746,topk
gen_29,0.002907749032601714,topk
gen_49,6.457211156885023e-07,topk
gen_40,0.885703980922699,replay
gen_1,0.23737159371376038,replay
gen_61,0.8023122549057007,replay
gen_56,0.9635854363441467,replay
gen_26,0.11561201512813568,replay
gen_36,0.9834958910942078,replay
gen_5,0.9761536121368408,replay
gen_13,0.3901297450065613,replay
gen_1,0.9999799728393555,replay
gen_40,0.8180661797523499,replay
