relative_path,data_type,workflow,run_id,sample_id_if_applicable,source_label,size_bytes,sha256,notes
data/final_evaluations/reward_guided/baseline/0001/topk_records.csv,csv,reward_guided,,,released research data,7822,4051b01bde3b5040698f35d05898c97efd769457291a78e727116cc6426f2ec4,
data/final_evaluations/reward_guided/baseline/0002/basic_validity.csv,csv,reward_guided,,,released research data,23180,9c85d34fddb36d3d2eef302b552b8243c8777e64abae358a1c964156358ee944,
data/final_evaluations/reward_guided/baseline/0002/loop_summary.json,json,reward_guided,,,released research data,4092,6afad20da61e55ee3f09cc07fafed2e0a7e3184446e5c70f1aab9ee3e5a9a9c5,
data/final_evaluations/reward_guided/baseline/0002/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9815,3e098ea3c97d1a919e24b55658f6a4745160f04ce9f140e3e7301ea00c039b4e,
data/final_evaluations/reward_guided/baseline/0002/relax_manifest.csv,csv,reward_guided,,,released research data,32134,9fdcde617bd9e51a9e492aa2931be012a132310f7af763fad3bceb4e8b75f084,
data/final_evaluations/reward_guided/baseline/0002/reward_table.csv,csv,reward_guided,,,released research data,15126,8691c2ac5e506f089e76284b8d28a98a438fd3343458b2055f3768eb88670252,
data/final_evaluations/reward_guided/baseline/0002/topk_records.csv,csv,reward_guided,,,released research data,7818,af060338325cd7ffb07edb3385490b360d9208e1e3398922ad90f9d86eee4d6d,
data/final_evaluations/reward_guided/baseline/0003/basic_validity.csv,csv,reward_guided,,,released research data,23356,26c1b07ebf737eb237a7d9369b3e74c2bd251c9796c8da6110dda92f4d8dfe1c,
data/final_evaluations/reward_guided/baseline/0003/loop_summary.json,json,reward_guided,,,released research data,4087,d3127844276c2764a9dab5756c6eb1f8d0023132a92bce1214314d08dc92116b,
data/final_evaluations/reward_guided/baseline/0003/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9288,a41f3c6801f63959c2aa9f0ad74d0ae16a055279517b7958961ce04a40709a5c,
data/final_evaluations/reward_guided/baseline/0003/relax_manifest.csv,csv,reward_guided,,,released research data,29965,238d422cd53f80c3274e58aba5542744feca3f357b3a40931f33d5bb3b3ca87d,
data/final_evaluations/reward_guided/baseline/0003/reward_table.csv,csv,reward_guided,,,released research data,14270,503e1e78b99638f57d05575d44b5e87d091def2d7b168875fe5152e1c35abf8a,
data/final_evaluations/reward_guided/baseline/0003/topk_records.csv,csv,reward_guided,,,released research data,7835,76cf1b756881c42db549326a08b2f7b863e26f8545e03dcf3afe32e318bb8d42,
data/final_evaluations/reward_guided/baseline/0004/basic_validity.csv,csv,reward_guided,,,released research data,23246,3c84bae04854e6e909aae85a3d30a6b759f7a9aaf175db6dd35047b99c7e727c,
data/final_evaluations/reward_guided/baseline/0004/loop_summary.json,json,reward_guided,,,released research data,4571,68835df7076559eb8b49b384c04cae54afc1082ee57c6e3db63e01189e0d92ca,
data/final_evaluations/reward_guided/baseline/0004/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9863,af24a9b61713ba574f2d002eed1d08f16292b6950399f98d29134f52bc51a641,
data/final_evaluations/reward_guided/baseline/0004/relax_manifest.csv,csv,reward_guided,,,released research data,31611,9016528c9b4b0278e8e4ec42fa86e460d4619ab91639e850fe12808321c8ab4a,
data/final_evaluations/reward_guided/baseline/0004/reward_table.csv,csv,reward_guided,,,released research data,15072,afd7ae1360e73f83754a0a10a37ad91789179f6cd61a2fb947649cc71e2769ea,
data/final_evaluations/reward_guided/baseline/0004/topk_records.csv,csv,reward_guided,,,released research data,7761,8ed6f2e2ea05a89e89f09a5810af3b6470f1cf2d500826c1586e9cd0426b9935,
data/final_evaluations/reward_guided/baseline/0005/basic_validity.csv,csv,reward_guided,,,released research data,23270,ed13bd136a0c8581e2b83fb1b8d800aed82e3a7816c58d984b30fd5d6f66ce37,
data/final_evaluations/reward_guided/baseline/0005/loop_summary.json,json,reward_guided,,,released research data,4500,97567b2aa360a0d27e35e41efbd69af1dad8038cc5296b9c65b14cf11c967cfc,
data/final_evaluations/reward_guided/baseline/0005/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9839,7d47566f74183699dd0235527b15506c4e5dcb0fb3abbe4dadd2874f7441b7fe,
data/final_evaluations/reward_guided/baseline/0005/relax_manifest.csv,csv,reward_guided,,,released research data,29925,e096f9eb8e1a0429cb01a786ca0895c8a5e748188caef35d880330b2d8761dc7,
data/final_evaluations/reward_guided/baseline/0005/reward_table.csv,csv,reward_guided,,,released research data,15137,a064f1966499ff75c96d9f4e6e11d38c867b9bec7587a57cdf954721c34a4b92,
data/final_evaluations/reward_guided/baseline/0005/topk_records.csv,csv,reward_guided,,,released research data,7818,73513bf33f46b06da86420ed6e72f1e221d1f3954dd80694be82698cf85cf61e,
data/final_evaluations/reward_guided/baseline/0006/basic_validity.csv,csv,reward_guided,,,released research data,23409,4f8cf8a67eff525a2bb3df35455a8368d18a010b805235c6f07dc42be19d370c,
data/final_evaluations/reward_guided/baseline/0006/loop_summary.json,json,reward_guided,,,released research data,4495,757511a6697e57d4ecf3169c2359f7c71fda058219357ee62d53f25536daaab0,
data/final_evaluations/reward_guided/baseline/0006/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,5634,cf13de4f6f2f297d260b61640e3d8f4aefdd66b7a5fb8165bcaf7e229436c450,
data/final_evaluations/reward_guided/baseline/0006/relax_manifest.csv,csv,reward_guided,,,released research data,28833,2bf4a37007bfa7071b2aac723d97ec7b1a9edc1c59f09ff9ee0e14eed26874a2,
data/final_evaluations/reward_guided/baseline/0006/reward_table.csv,csv,reward_guided,,,released research data,8696,ceff082f7b14731fa517f06b9dbb47538fb19d6c6a9b8793e932563a05c3fe4c,
data/final_evaluations/reward_guided/baseline/0006/topk_records.csv,csv,reward_guided,,,released research data,7799,ea2149dd51ee52460a946417c5364d1571d011c17a994f517506a9ffe98149bb,
data/final_evaluations/reward_guided/baseline/0007/basic_validity.csv,csv,reward_guided,,,released research data,23243,859b89e1e2c72376b06cafa9a29d188966f55a6f16e06911e87fcae65397906c,
data/final_evaluations/reward_guided/baseline/0007/loop_summary.json,json,reward_guided,,,released research data,4500,4242244eefed76f99a677f90822938bf8fe94bcd91545f83b4b809ed13e620b4,
data/final_evaluations/reward_guided/baseline/0007/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9887,830ff38797ac18590d4b2cfd777ccc08083e677339a99bad54886cc7351c9d8f,
data/final_evaluations/reward_guided/baseline/0007/relax_manifest.csv,csv,reward_guided,,,released research data,33958,e458e8d2252a9985e46893fc9fc95b082605718fefb510d686a1f7a2a222f937,
data/final_evaluations/reward_guided/baseline/0007/reward_table.csv,csv,reward_guided,,,released research data,15148,aee41fe4390c3470d57a91143829c7b326cc264265b927897355a140b7ffe1ed,
data/final_evaluations/reward_guided/baseline/0007/topk_records.csv,csv,reward_guided,,,released research data,7790,ea5be347294eda74a88762d9490bed77fd678f1cae3c61a72d7a6db21592b32c,
data/final_evaluations/reward_guided/baseline/0008/basic_validity.csv,csv,reward_guided,,,released research data,23245,fc427a20dd9c158bb8d1e897709ce91044877e27aa35f7fdab5a46f626c24a4a,
data/final_evaluations/reward_guided/baseline/0008/loop_summary.json,json,reward_guided,,,released research data,4507,51b45851b41bc0110c85ad0186641a3346ae3b67bf8a5b73134b1a82d14bca30,
data/final_evaluations/reward_guided/baseline/0008/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,7443,e72265917112c6280411d40126008dabff86030cda310f5092d19a6538753270,
data/final_evaluations/reward_guided/baseline/0008/relax_manifest.csv,csv,reward_guided,,,released research data,30478,f66cf1e490df12a8390589bdfe9a6d0bd47622ce3e674cd3e06fc1597f01bdd1,
data/final_evaluations/reward_guided/baseline/0008/reward_table.csv,csv,reward_guided,,,released research data,11421,440848ba737a2c6fca5533dd0749168a809f14ab70d60d5a8c17f95a216e035f,
data/final_evaluations/reward_guided/baseline/0008/topk_records.csv,csv,reward_guided,,,released research data,7761,22c0a9285c2bfea5b5e65d2c228d62d71d883513333fdc0b49297823e79b5b91,
data/final_evaluations/reward_guided/baseline/0009/basic_validity.csv,csv,reward_guided,,,released research data,23274,bfbb4b8ed670704f2a1bafa4454478f8e109963052f73249a41eb6bcb82fc17a,
data/final_evaluations/reward_guided/baseline/0009/loop_summary.json,json,reward_guided,,,released research data,4499,5407965dca95b49d6cfa584097f160d8c6e743f46cd2a4cf5c96b5090a285b86,
data/final_evaluations/reward_guided/baseline/0009/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9880,2c6dd8e7651e78e8d0e8a9e497b014142e12105fa652966a33a14ea406d5488d,
data/final_evaluations/reward_guided/baseline/0009/relax_manifest.csv,csv,reward_guided,,,released research data,33362,36814e3369ddc92def11e6df260733a1c50b727511d14fcd06472e338ae2be12,
data/final_evaluations/reward_guided/baseline/0009/reward_table.csv,csv,reward_guided,,,released research data,15192,e38ab9eaba5dee36118710763f50f43a63178f23215c25abe09506f022e2cc61,
data/final_evaluations/reward_guided/baseline/0009/topk_records.csv,csv,reward_guided,,,released research data,7830,f9f553d0b93bda4149b25b265aa7b9a3b56d79bfc27551890c1574bc3120b281,
data/final_evaluations/reward_guided/baseline/0010/basic_validity.csv,csv,reward_guided,,,released research data,23139,8a0fcd7dd6490da3c0d3440dc3bffb8f92164412a599ca5d5eaaee81b94d9592,
data/final_evaluations/reward_guided/baseline/0010/loop_summary.json,json,reward_guided,,,released research data,4493,16b269273d92c72f5264542e4a357ea1e3a07945726ddd3bf57e90a3690fa4f6,
data/final_evaluations/reward_guided/baseline/0010/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9831,23c138b30623ccefd5c439536cbea399995acb9810c86731a58859734a2963f9,
data/final_evaluations/reward_guided/baseline/0010/relax_manifest.csv,csv,reward_guided,,,released research data,31532,b106914edf3e290fa0a02d086dc18f15f5677deb9b76bc9e47c368bc0044d3ec,
data/final_evaluations/reward_guided/baseline/0010/reward_table.csv,csv,reward_guided,,,released research data,15102,270d4a57680f6dffba37ef1de0dc8f77a630c74b25391e8d42b78a64e28edf51,
data/final_evaluations/reward_guided/baseline/0010/topk_records.csv,csv,reward_guided,,,released research data,7796,563aa7f19e8ca2e8854ad706ba769b29c85e88c3efcdaa0e58ac05e6cbeb92ce,
data/final_evaluations/reward_guided/baseline/0011/basic_validity.csv,csv,reward_guided,,,released research data,23191,a35411dc400a6866ffff2fddfeb982db8ef8665159ce235884c5eeaed4090c7f,
data/final_evaluations/reward_guided/baseline/0011/loop_summary.json,json,reward_guided,,,released research data,4500,88ce2579eaa0655201f45e9c0564cc7f81e4078b98899097ccc98ac93cd6b886,
data/final_evaluations/reward_guided/baseline/0011/prefiltered_eval_candidates.csv,csv,reward_guided,,,released research data,9851,66a81715583bfdc838701e44e0399c503867ac00dad17e2b19b3b7d6021ba914,
