guidance_factor,condition,subset,family_type,rank,family_label,count,fraction,representative_formula,representative_space_group,mean_predicted_dielectric_scalar,mean_energy_above_hull_per_atom,stable_fraction_within_family,sun_fraction_within_family
0,2,all_relaxed,structure_family,8,SF007,1,0.0078125,CaCl2,P-3m1,2.283644483751084,0.0528020350146256,1.0,0.0
0,2,all_relaxed,structure_family,9,SF008,1,0.0078125,C,Fd-3m,5.555459915795265,0.1367999719522057,0.0,0.0
0,2,all_relaxed,structure_family,10,SF009,1,0.0078125,Br2OF,P1,2.51280933548789,0.2066087503921072,0.0,0.0
0,2,all_relaxed,space_group,1,P1,22,0.171875,Al4CuGeO8F,P1,4.159260128784475,0.18126344772803546,0.22727272727272727,0.22727272727272727
0,2,all_relaxed,space_group,2,R-3m,10,0.078125,Ba2Fe2SnO7,R-3m,5.74248666031401,0.09240582655717042,0.6,0.1
0,2,all_relaxed,space_group,3,Cm,9,0.0703125,Ca2Ta4FeN9,Cm,5.03471248763248,0.18339746081233071,0.2222222222222222,0.2222222222222222
0,2,all_relaxed,space_group,4,Fm-3m,8,0.0625,BaO,Fm-3m,3.821372781151901,0.04976528951979459,0.875,0.125
0,2,all_relaxed,space_group,5,C2/m,8,0.0625,BaSbO,C2/m,6.029627637196462,0.1382860661939474,0.375,0.125
0,2,all_relaxed,space_group,6,Pm,6,0.046875,BaNa3(CuO)4,Pm,5.903297000180333,0.1361274732454544,0.16666666666666666,0.16666666666666666
0,2,all_relaxed,space_group,7,I4/mmm,5,0.0390625,Cs(MnSe)2,I4/mmm,5.345134996522797,0.1867438204003728,0.6,0.4
0,2,all_relaxed,space_group,8,Amm2,5,0.0390625,CuTe2Pd,Amm2,6.7360188284805576,0.11761578494015104,0.4,0.4
0,2,all_relaxed,space_group,9,P-1,5,0.0390625,Br,P-1,6.494877561979176,0.16945021461718682,0.2,0.2
0,2,all_relaxed,space_group,10,R3m,4,0.03125,AlAgS2,R3m,6.661931522218985,0.2693620986466174,0.25,0.0
0,2,sun_positive,chemical_system,1,H-Na-O,2,0.07142857142857142,NaHO,Amm2,2.4286773459354265,0.0640042404291061,1.0,1.0
0,2,sun_positive,chemical_system,2,As-Dy-Li-O,1,0.03571428571428571,Li2Dy2As2O,I4/mmm,9.19040741899176,0.0722210226666497,1.0,1.0
0,2,sun_positive,chemical_system,3,Cl-Co-Er,1,0.03571428571428571,ErCoCl,R-3m,8.015147074861789,0.0346400052260094,1.0,1.0
0,2,sun_positive,chemical_system,4,Br,1,0.03571428571428571,Br,P-1,4.440091947823958,0.0516718482310385,1.0,1.0
0,2,sun_positive,chemical_system,5,Cs-P,1,0.03571428571428571,Cs3P2,Immm,4.380016021602139,0.0006306669462725,1.0,1.0
0,2,sun_positive,chemical_system,6,Cs-F-W,1,0.03571428571428571,Cs3WF6,Fm-3m,2.298716843026209,0.0668834276213443,1.0,1.0
0,2,sun_positive,chemical_system,7,F-Pb-Sb,1,0.03571428571428571,Sb2PbF12,Cm,2.288073812561496,0.0104801340512681,1.0,1.0
0,2,sun_positive,chemical_system,8,C-Ca-Co-F,1,0.03571428571428571,Ca6Co(CF2)2,P1,4.678983576637063,0.0695213218645802,1.0,1.0
0,2,sun_positive,chemical_system,9,Ba-Na-Sb,1,0.03571428571428571,BaNaSb2,P4/mmm,12.7134705834445,0.0960204483083373,1.0,1.0
0,2,sun_positive,chemical_system,10,Cu-Pd-Te,1,0.03571428571428571,CuTe2Pd,Amm2,16.817764963808838,0.0662424209993703,1.0,1.0
0,2,sun_positive,reduced_formula,1,NaHO,2,0.07142857142857142,NaHO,Amm2,2.4286773459354265,0.0640042404291061,1.0,1.0
0,2,sun_positive,reduced_formula,2,Li2Dy2As2O,1,0.03571428571428571,Li2Dy2As2O,I4/mmm,9.19040741899176,0.0722210226666497,1.0,1.0
0,2,sun_positive,reduced_formula,3,ErCoCl,1,0.03571428571428571,ErCoCl,R-3m,8.015147074861789,0.0346400052260094,1.0,1.0
0,2,sun_positive,reduced_formula,4,Br,1,0.03571428571428571,Br,P-1,4.440091947823958,0.0516718482310385,1.0,1.0
0,2,sun_positive,reduced_formula,5,Cs3P2,1,0.03571428571428571,Cs3P2,Immm,4.380016021602139,0.0006306669462725,1.0,1.0
0,2,sun_positive,reduced_formula,6,Cs3WF6,1,0.03571428571428571,Cs3WF6,Fm-3m,2.298716843026209,0.0668834276213443,1.0,1.0
0,2,sun_positive,reduced_formula,7,Sb2PbF12,1,0.03571428571428571,Sb2PbF12,Cm,2.288073812561496,0.0104801340512681,1.0,1.0
0,2,sun_positive,reduced_formula,8,Ca6Co(CF2)2,1,0.03571428571428571,Ca6Co(CF2)2,P1,4.678983576637063,0.0695213218645802,1.0,1.0
0,2,sun_positive,reduced_formula,9,BaNaSb2,1,0.03571428571428571,BaNaSb2,P4/mmm,12.7134705834445,0.0960204483083373,1.0,1.0
0,2,sun_positive,reduced_formula,10,CuTe2Pd,1,0.03571428571428571,CuTe2Pd,Amm2,16.817764963808838,0.0662424209993703,1.0,1.0
0,2,sun_positive,anonymized_formula,1,ABC,7,0.25,NaHO,Amm2,4.592218372430891,0.05512026335862065,1.0,1.0
0,2,sun_positive,anonymized_formula,2,ABC2,3,0.10714285714285714,BaNaSb2,Amm2,10.64581276916809,0.08680059524466884,1.0,1.0
0,2,sun_positive,anonymized_formula,3,AB4,2,0.07142857142857142,SiH4,Cmcm,3.4672710295777813,0.0563700877669379,1.0,1.0
0,2,sun_positive,anonymized_formula,4,AB2C2D2,1,0.03571428571428571,Li2Dy2As2O,I4/mmm,9.19040741899176,0.0722210226666497,1.0,1.0
