guidance_factor,condition,subset,family_type,n_generated_group,n_subset,n_stable_in_subset,n_unique_in_subset,n_novel_in_subset,n_sun_in_subset,n_families,largest_family_fraction,top5_cumulative_fraction,shannon_entropy,effective_num_families,hhi,mean_family_size,median_family_size,frac_in_families_ge_5,boot_largest_family_fraction_lo,boot_largest_family_fraction_hi,boot_effective_num_families_lo,boot_effective_num_families_hi,boot_hhi_lo,boot_hhi_hi
1,4,sun_positive,structure_family,128,24,24,24,24,24,24,0.041666666666666664,0.20833333333333331,3.1780538303479453,23.999999999999993,0.041666666666666664,1.0,1.0,0.0,0.08333333333333333,0.20833333333333334,10.609378422285168,16.97056274847715,0.0625,0.11111111111111108
1,4,sun_positive,space_group,128,24,24,24,24,24,19,0.16666666666666666,0.4166666666666667,2.8314802400679735,16.97056274847715,0.06944444444444442,1.263157894736842,1.0,0.0,,,,,,
1,8,all_relaxed,chemical_system,128,128,40,128,97,19,127,0.015625,0.046875,4.841199839223365,126.62118568882849,0.0079345703125,1.0078740157480315,1.0,0.0,0.0234375,0.046875,64.8200943241245,79.14074276759375,0.013916015625,0.017825317382812497
1,8,all_relaxed,reduced_formula,128,128,40,128,97,19,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,,,,,,
1,8,all_relaxed,anonymized_formula,128,128,40,128,97,19,63,0.0859375,0.3203125,3.7853437627350504,44.05081098350879,0.0328369140625,2.0317460317460316,1.0,0.359375,,,,,,
1,8,all_relaxed,structure_family,128,128,40,128,97,19,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,0.0234375,0.046875,65.46660402331969,79.46207329750038,0.013916015625,0.017581176757812497
1,8,all_relaxed,space_group,128,128,40,128,97,19,48,0.1328125,0.3671875,3.493087348010138,32.88732575076969,0.044677734375,2.6666666666666665,2.0,0.40625,,,,,,
1,8,sun_positive,chemical_system,128,19,19,19,19,19,19,0.05263157894736842,0.2631578947368421,2.94443897916644,18.99999999999999,0.05263157894736842,1.0,1.0,0.0,0.10526315789473684,0.2631578947368421,8.43256773714556,13.430238682898377,0.08033240997229917,0.13573407202216065
1,8,sun_positive,reduced_formula,128,19,19,19,19,19,19,0.05263157894736842,0.2631578947368421,2.94443897916644,18.99999999999999,0.05263157894736842,1.0,1.0,0.0,,,,,,
1,8,sun_positive,anonymized_formula,128,19,19,19,19,19,19,0.05263157894736842,0.2631578947368421,2.94443897916644,18.99999999999999,0.05263157894736842,1.0,1.0,0.0,,,,,,
1,8,sun_positive,structure_family,128,19,19,19,19,19,19,0.05263157894736842,0.2631578947368421,2.94443897916644,18.99999999999999,0.05263157894736842,1.0,1.0,0.0,0.10526315789473684,0.2631578947368421,8.43256773714556,13.430238682898377,0.08033240997229917,0.13573407202216065
1,8,sun_positive,space_group,128,19,19,19,19,19,16,0.15789473684210525,0.42105263157894735,2.698011019844113,14.850165646665618,0.07479224376731301,1.1875,1.0,0.0,,,,,,
1,12,all_relaxed,chemical_system,128,128,51,127,94,26,126,0.015625,0.0546875,4.830369414527117,125.25722394722536,0.008056640625,1.0158730158730158,1.0,0.0,0.0234375,0.046875,64.55478612177086,78.88542640445274,0.0140380859375,0.0179443359375
1,12,all_relaxed,reduced_formula,128,128,51,127,94,26,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,,,,,,
1,12,all_relaxed,anonymized_formula,128,128,51,127,94,26,65,0.15625,0.375,3.682991534669242,39.76517521532063,0.0460205078125,1.9692307692307693,1.0,0.4609375,,,,,,
1,12,all_relaxed,structure_family,128,128,51,127,94,26,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,0.0234375,0.046875,65.46660402331969,79.46207329750038,0.013916015625,0.017581176757812497
1,12,all_relaxed,space_group,128,128,51,127,94,26,41,0.125,0.40625,3.3055173648008753,27.26264267248197,0.051513671875,3.1219512195121952,2.0,0.5390625,,,,,,
1,12,sun_positive,chemical_system,128,26,26,26,26,26,26,0.038461538461538464,0.19230769230769232,3.258096538021482,26.000000000000004,0.038461538461538464,1.0,1.0,0.0,0.07692307692307693,0.19230769230769232,11.792391150516947,17.901122865525515,0.059171597633136105,0.09763313609467454
1,12,sun_positive,reduced_formula,128,26,26,26,26,26,26,0.038461538461538464,0.19230769230769232,3.258096538021482,26.000000000000004,0.038461538461538464,1.0,1.0,0.0,,,,,,
1,12,sun_positive,anonymized_formula,128,26,26,26,26,26,19,0.11538461538461539,0.46153846153846156,2.844613583584239,17.194912988361814,0.0650887573964497,1.368421052631579,1.0,0.0,,,,,,
1,12,sun_positive,structure_family,128,26,26,26,26,26,26,0.038461538461538464,0.19230769230769232,3.258096538021482,26.000000000000004,0.038461538461538464,1.0,1.0,0.0,0.07692307692307693,0.19230769230769232,11.792391150516947,17.901122865525515,0.059171597633136105,0.09763313609467454
1,12,sun_positive,space_group,128,26,26,26,26,26,20,0.07692307692307693,0.38461538461538464,2.9381824546861237,18.881497129486245,0.0562130177514793,1.3,1.0,0.0,,,,,,
2,2,all_relaxed,chemical_system,128,128,72,126,100,48,100,0.0625,0.1875,4.449330553758275,85.56964054927855,0.015380859375,1.28,1.0,0.1015625,0.0390625,0.109375,47.387471143591185,63.160339238334835,0.0184326171875,0.029544067382812497
2,2,all_relaxed,reduced_formula,128,128,72,126,100,48,111,0.046875,0.1484375,4.6076990480788504,100.2532062359607,0.01220703125,1.1531531531531531,1.0,0.0859375,,,,,,
2,2,all_relaxed,anonymized_formula,128,128,72,126,100,48,51,0.1015625,0.3828125,3.502459600723208,33.197002998664885,0.04443359375,2.5098039215686274,1.0,0.5,,,,,,
2,2,all_relaxed,structure_family,128,128,72,126,100,48,126,0.015625,0.0546875,4.830369414527117,125.25722394722536,0.008056640625,1.0158730158730158,1.0,0.0,0.0234375,0.046875,64.38386662840156,78.61415863521816,0.0140380859375,0.0179443359375
2,2,all_relaxed,space_group,128,128,72,126,100,48,41,0.2578125,0.484375,3.1096180715746087,22.412482801625845,0.08984375,3.1219512195121952,2.0,0.5234375,,,,,,
2,2,sun_positive,chemical_system,128,48,48,48,48,48,35,0.10416666666666667,0.31250000000000006,3.4218190296625037,30.62507229951223,0.0390625,1.3714285714285714,1.0,0.10416666666666667,0.08333333333333333,0.1875,16.189565996313014,24.610138815241495,0.04513888888888889,0.07988281249999998
2,2,sun_positive,reduced_formula,128,48,48,48,48,48,40,0.08333333333333333,0.2708333333333333,3.600369815202817,36.61177153012742,0.03125,1.2,1.0,0.0,,,,,,
2,2,sun_positive,anonymized_formula,128,48,48,48,48,48,27,0.125,0.43750000000000006,3.0699814489822037,21.541503054489223,0.059027777777777776,1.7777777777777777,1.0,0.3333333333333333,,,,,,
2,2,sun_positive,structure_family,128,48,48,48,48,48,48,0.020833333333333332,0.10416666666666666,3.8712010109078907,47.999999999999986,0.020833333333333336,1.0,1.0,0.0,0.0625,0.10468749999999953,22.81174015986452,31.688826822529105,0.033854166666666664,0.050368923611111095
2,2,sun_positive,space_group,128,48,48,48,48,48,20,0.3958333333333333,0.6249999999999999,2.3771004542361056,10.77361893011969,0.18142361111111113,2.4,1.0,0.3958333333333333,,,,,,
2,4,all_relaxed,chemical_system,128,128,47,124,94,26,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,0.0234375,0.046875,65.46660402331969,79.46207329750038,0.013916015625,0.017581176757812497
2,4,all_relaxed,reduced_formula,128,128,47,124,94,26,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,,,,,,
2,4,all_relaxed,anonymized_formula,128,128,47,124,94,26,52,0.1484375,0.3984375,3.4945346401705875,32.93495777992373,0.049560546875,2.4615384615384617,1.0,0.4375,,,,,,
2,4,all_relaxed,structure_family,128,128,47,124,94,26,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,0.0234375,0.046875,65.46660402331969,79.46207329750038,0.013916015625,0.017581176757812497
2,4,all_relaxed,space_group,128,128,47,124,94,26,46,0.1796875,0.40625,3.3650967888935845,28.93629787577144,0.0576171875,2.782608695652174,1.5,0.484375,,,,,,
2,4,sun_positive,chemical_system,128,26,26,26,26,26,26,0.038461538461538464,0.19230769230769232,3.258096538021482,26.000000000000004,0.038461538461538464,1.0,1.0,0.0,0.07692307692307693,0.19230769230769232,11.792391150516947,17.901122865525515,0.059171597633136105,0.09763313609467454
2,4,sun_positive,reduced_formula,128,26,26,26,26,26,26,0.038461538461538464,0.19230769230769232,3.258096538021482,26.000000000000004,0.038461538461538464,1.0,1.0,0.0,,,,,,
2,4,sun_positive,anonymized_formula,128,26,26,26,26,26,19,0.19230769230769232,0.46153846153846156,2.7685072768947623,15.934829958927999,0.07988165680473372,1.368421052631579,1.0,0.19230769230769232,,,,,,
2,4,sun_positive,structure_family,128,26,26,26,26,26,26,0.038461538461538464,0.19230769230769232,3.258096538021482,26.000000000000004,0.038461538461538464,1.0,1.0,0.0,0.07692307692307693,0.19230769230769232,11.792391150516947,17.901122865525515,0.059171597633136105,0.09763313609467454
2,4,sun_positive,space_group,128,26,26,26,26,26,18,0.15384615384615385,0.5,2.7249063991292166,15.254985980060146,0.07988165680473373,1.4444444444444444,1.0,0.0,,,,,,
2,8,all_relaxed,chemical_system,128,128,54,127,92,24,125,0.015625,0.0625,4.819538989830868,123.90795478350658,0.0081787109375,1.024,1.0,0.0,0.0234375,0.046875,64.15228691492678,78.60610889236021,0.0140380859375,0.0181884765625
2,8,all_relaxed,reduced_formula,128,128,54,127,92,24,127,0.015625,0.046875,4.841199839223365,126.62118568882849,0.0079345703125,1.0078740157480315,1.0,0.0,,,,,,
2,8,all_relaxed,anonymized_formula,128,128,54,127,92,24,52,0.1328125,0.4140625,3.456618362840202,31.709564760721182,0.0506591796875,2.4615384615384617,1.0,0.5,,,,,,
2,8,all_relaxed,structure_family,128,128,54,127,92,24,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,0.0234375,0.046875,65.46660402331969,79.46207329750038,0.013916015625,0.017581176757812497
2,8,all_relaxed,space_group,128,128,54,127,92,24,47,0.125,0.375,3.4835660823257966,32.5756827568375,0.0440673828125,2.723404255319149,2.0,0.4140625,,,,,,
2,8,sun_positive,chemical_system,128,24,24,24,24,24,23,0.08333333333333333,0.24999999999999997,3.120291565301285,22.652983504360673,0.045138888888888895,1.0434782608695652,1.0,0.0,0.08333333333333333,0.20937499999999906,10.350679118821235,16.604574572880775,0.06597222222222221,0.11458333333333331
2,8,sun_positive,reduced_formula,128,24,24,24,24,24,24,0.041666666666666664,0.20833333333333331,3.1780538303479453,23.999999999999993,0.041666666666666664,1.0,1.0,0.0,,,,,,
2,8,sun_positive,anonymized_formula,128,24,24,24,24,24,18,0.125,0.4583333333333333,2.787876228087594,16.24647932026295,0.06944444444444443,1.3333333333333333,1.0,0.0,,,,,,
2,8,sun_positive,structure_family,128,24,24,24,24,24,24,0.041666666666666664,0.20833333333333331,3.1780538303479453,23.999999999999993,0.041666666666666664,1.0,1.0,0.0,0.08333333333333333,0.20833333333333334,10.609378422285168,16.97056274847715,0.0625,0.11111111111111108
2,8,sun_positive,space_group,128,24,24,24,24,24,20,0.08333333333333333,0.375,2.947004770161298,19.04881262361841,0.05555555555555556,1.2,1.0,0.0,,,,,,
2,12,all_relaxed,chemical_system,128,128,54,128,96,29,126,0.015625,0.0546875,4.830369414527117,125.25722394722536,0.008056640625,1.0158730158730158,1.0,0.0,0.0234375,0.046875,64.51931804043411,78.92809860667816,0.0140380859375,0.0179443359375
2,12,all_relaxed,reduced_formula,128,128,54,128,96,29,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,,,,,,
2,12,all_relaxed,anonymized_formula,128,128,54,128,96,29,54,0.171875,0.390625,3.5209963246561844,33.81810549676648,0.0521240234375,2.3703703703703702,1.0,0.390625,,,,,,
2,12,all_relaxed,structure_family,128,128,54,128,96,29,128,0.0078125,0.0390625,4.852030263919617,127.99999999999997,0.0078125,1.0,1.0,0.0,0.0234375,0.046875,65.46660402331969,79.46207329750038,0.013916015625,0.017581176757812497
